sample_start,sample_end,variable,label,transformation,test,deterministic,nlags_requested,lags_used,statistic,p_value,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct,warning,nobs
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,auto,9,1.7988911297552372,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,legacy,14,1.2386818936556405,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,1,1,8.443413286223237,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,2,2,5.681059030328583,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,3,3,4.298142054437357,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,4,4,3.4671544704679786,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,6,6,2.515410801466051,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,8,8,1.9850694242695894,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,9,9,1.7988911297552372,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,12,12,1.4111123725528534,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
