month,bitcoin_market_price_usd_monthly,network_difficulty_monthly,blocks_mined_monthly,total_transaction_fees_btc_monthly,new_coins_issued_btc_monthly,total_miner_compensation_btc_monthly,total_miner_compensation_usd_monthly,miner_compensation_per_block_btc_monthly,implied_block_subsidy_btc_monthly,coinmetrics_bitcoin_price_usd_monthly,bitcoinvisuals_block_subsidy_btc_monthly,analysis_sample,daily_observations,calendar_days_in_month,price_observation_days,difficulty_observation_days,blocks_observation_days,compensation_observation_days,complete_price_month,complete_backbone_month,frontier_efficiency_j_per_th,frontier_hardware_model,frontier_hardware_type,frontier_release_date,frontier_changed,eta_weighted_avg_j_per_th,n_active_devices,sum_weights,energy_per_block_frontier_j,energy_per_block_weighted_j,mci_frontier_j_per_btc,mci_weighted_j_per_btc,log_bitcoin_market_price_usd,log_mci_frontier,log_mci_weighted
2012-11-01,11.368290808790611,3356840.16970502,4431.0,819.9268432700001,212675.0,213494.92684327,2443491.8644168978,48.18210942073347,48.02325581395349,11.476865208513535,48.333333333333336,True,30,30,30,30,30,30,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,3010932.913636364,6.0,4.4,619953306.1116325,43410181727.65568,12866877.634976635,900960589.9275062,2.4308279718179375,16.370166942133302,20.618972074246948
2012-12-01,13.203438848385844,3329360.6927331355,4213.0,933.50257464,105325.0,106258.50257464,1420061.0709893235,25.221576685174465,25.0,13.373176563997664,25.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,3010932.913636364,6.0,4.4,614878297.5506991,43054821022.69985,24379058.661789834,1707063026.2384815,2.5804773144803,17.0092350701887,21.258040202302343
2013-01-01,15.374104698203976,3125200.857399179,4444.0,1319.17046538,111100.0,112419.17046538,1763679.854996909,25.2968430390144,25.0,15.618021246047398,25.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,3010932.913636364,6.0,4.4,577173325.4663073,40414654942.31297,22816021.92716909,1597616543.6921484,2.732684580985967,16.942973563239224,21.191778695352866
2013-02-01,25.788974170983582,3379188.1746885227,4658.0,1416.34197199,116450.0,117866.34197199,3096283.5005232464,25.304066546155003,25.0,26.0934570902674,25.0,True,28,28,28,28,28,28,True,True,9916.7,Avalon 1,ASIC,2013-02-01,True,3127890.919047619,6.0,4.199999999999999,143926052.1984849,45396653290.511406,5687862.539246867,1794045759.7085123,3.2499470428704242,15.553845083374117,21.307739107341614
2013-03-01,57.06609957197188,5123402.251366925,5343.0,1720.1159158,133575.0,135295.1159158,7865695.183995193,25.3219382211866,25.0,57.66423358044136,25.0,True,31,31,31,31,31,31,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,2568599.19,6.0,4.0,218215447.5407515,56521627335.57149,8617643.943154909,2232120892.2419863,4.044210237583121,15.96932228081995,21.52621804318956
2013-04-01,128.529220791998,8186714.841643848,4967.0,1593.59819589,124175.0,125768.59819589,16173154.819158532,25.32083716446346,25.0,128.50750719166516,25.0,True,30,30,30,30,30,30,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1859737.0208333333,7.0,4.8,348687757.7455869,65391464074.82658,13770783.149103492,2582515880.1068497,4.856156277643522,16.438059742660837,21.672029908060885
2013-05-01,117.81172636488732,10975370.51954144,4977.0,1589.17388295,124425.0,126014.17388295,14863788.379456509,25.31930357302592,25.0,117.62185385125656,25.0,True,31,31,31,31,31,31,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1859737.0208333333,7.0,4.8,467461907.6041355,87665878306.37025,18462668.463841517,3462412702.368546,4.769087810956683,16.73126133042965,21.9652314958297
2013-06-01,105.18604784662634,17020766.550371345,5208.0,1251.43556468,130200.0,131451.43556468,13886636.09554275,25.24029100704301,25.0,104.8806200215079,25.0,True,30,30,30,30,30,30,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1859737.0208333333,7.0,4.8,724946824.0142549,135953537644.06075,28721809.26170649,5386369658.183596,4.655730666476063,17.17316729673762,22.40713746213767
2013-07-01,85.67171543625184,26248855.83631574,5365.0,923.15296184,134125.0,135048.15296184,11537708.62773216,25.172069517584344,25.0,85.63026707831678,25.0,True,31,31,31,31,31,31,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1859737.0208333333,7.0,4.8,1117988700.2286613,209662990177.03278,44413857.170054,8329191607.808385,4.450522729544032,17.60906207713451,22.84303224253456
2013-08-01,104.1855236154109,49075993.34012915,5837.0,1355.06151085,145925.0,147280.06151085,15285933.56167476,25.23215033593456,25.0,103.74713041741296,25.0,True,31,31,31,31,31,31,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1937334.282608696,7.0,4.6,2090239907.9373517,408350906301.88226,82840339.80887157,16183753697.770508,4.646173190832934,18.232425696473484,23.507273717823736
2013-09-01,125.973761475941,105757135.38081405,5627.0,1337.16339142,140675.0,142012.16339142,17715843.071113564,25.23763344436112,25.0,124.6466302289889,25.0,True,30,30,30,30,30,30,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,1937334.282608696,7.0,4.6,4504397565.425398,879982637974.1012,178479395.675343,34867874593.476074,4.836073643011613,18.999983722131134,24.274831743481382
2013-10-01,152.9977221176586,247090119.75769424,6199.0,1088.43846084,154975.0,156063.43846084,24152526.97065807,25.175582910282305,25.0,154.16304745902798,25.0,True,31,31,31,31,31,31,True,True,9916.7,Avalon 1,ASIC,2013-02-01,False,2023440.386363636,7.0,4.4,10524038211.412651,2147363936047.9277,418025602.3829496,85295500155.86305,5.030423033161728,19.851053238333318,25.169387536897368
2013-11-01,527.5658584683507,543449326.0377119,5192.0,1186.01810039,129800.0,130986.01810039,70677563.35972892,25.22843183751733,25.0,546.337333877097,25.0,True,30,30,30,30,30,30,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,True,2005263.2,7.0,4.2,4668194164.730428,4680478984494.332,185037032.61446208,185523976069.4903,6.268273707734055,19.036066539304386,25.94644996169017
2013-12-01,797.9352763996786,946731909.1002916,5616.0,494.19330025,140400.0,140894.19330025,111253805.33923656,25.087997382523145,25.0,790.4378136744028,25.0,True,31,31,31,31,31,31,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,2005263.2,7.0,4.2,8132365175.330794,8153766307526.194,324153620.20868117,325006662875.6223,6.682027486891863,19.59672809783598,26.507111520221763
2014-01-01,825.5331774953346,1742581224.7137728,5472.0,438.63127764,136800.0,137238.63127764,112554758.15021718,25.08015922471491,25.0,818.7494382226635,25.0,True,31,31,31,31,31,31,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,1620020.276923077,8.0,5.199999999999999,14968658741.53856,12124765339817.168,596832683.8526565,483440524885.8619,6.7160294533403615,20.20714737052293,26.904194134730265
2014-02-01,662.8792001150516,2802616915.572585,4902.0,396.65627167,122550.0,122946.65627167,81119473.05461222,25.08091723208282,25.0,659.7726451191668,25.0,True,28,28,28,28,28,28,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,1662628.4959999998,8.0,5.0,24074295991.20129,20013305268054.918,959865054.7120386,797949496139.4174,6.4965927716469904,20.682303264537254,27.405311144347603
2014-03-01,596.6822889021674,4252881443.504769,5113.0,419.40022608,127825.0,128244.40022608,76010587.08090842,25.082026251922557,25.0,593.8357570761406,25.0,True,31,31,31,31,31,31,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,1135499.4541666666,7.0,4.8,36531973427.23651,20741017943129.11,1456500087.3658009,826927527098.7843,6.391384792341534,21.099302194347146,27.440982894634036
2014-04-01,463.0340150132595,6406332733.567616,5030.0,398.02341464,125750.0,126148.02341464,58429196.0860574,25.07912990350696,25.0,463.27574406914414,25.0,True,30,30,30,30,30,30,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,929735.9727272724,7.0,4.4,55029979155.93439,25581675599852.094,2194253922.1920624,1020038402379.935,6.137800517939016,21.509107926921317,27.6508613919081
2014-05-01,484.0486003466411,8964398397.195541,5039.0,370.84294158,125975.0,126345.84294158,61557600.26798996,25.073594550819607,25.0,488.35410812980376,25.0,True,31,31,31,31,31,31,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,929735.9727272724,7.0,4.4,77003595888.53934,35796506563464.46,3071103177.1877418,1427657549894.231,6.182185315614831,21.845302675101465,27.98705614008825
